GA Unemployment rate by Month,,
Month/Year,GA,National
13-Jan,9.10%,8.00%
13-Feb,8.60%,7.70%
13-Mar,8.20%,7.50%
13-Apr,7.90%,7.60%
13-May,8.20%,7.50%
13-Jun,8.90%,7.50%
13-Jul,8.80%,7.30%
13-Aug,8.20%,7.20%
13-Sep,7.90%,7.20%
13-Oct,8.00%,7.20%
13-Nov,7.30%,6.90%
13-Dec,7.30%,6.70%
14-Jan,7.40%,6.60%
14-Feb,7.50%,6.70%
14-Mar,7.30%,6.70%
14-Apr,6.70%,6.20%
14-May,7.20%,6.30%
14-Jun,7.60%,6.10%
14-Jul,8.00%,6.20%
14-Aug,7.60%,6.10%
14-Sep,6.90%,5.90%
14-Oct,6.60%,5.70%
14-Nov,6.30%,5.80%
14-Dec,6.10%,5.60%
15-Jan,6.60%,5.70%
15-Feb,6.30%,5.50%
15-Mar,6.00%,5.40%
15-Apr,5.70%,5.40%
15-May,6.20%,5.60%
15-Jun,6.40%,5.30%
15-Jul,6.40%,5.20%
15-Aug,6.00%,5.10%
15-Sep,5.70%,5.00%
15-Oct,5.70%,5.00%
15-Nov,5.40%,5.10%
15-Dec,5.40%,5.00%
